input_usi	input_name	input_structure	input_partial_structure	input_molecule_origin	input_original_molecule_name	input_original_molecule_structure	input_microbe_ncbi	input_microbe_name	input_microbe_DNARNA	input_microbial_community	input_microbial_community_description	input_biosynthesis_mibig	input_biosynthesis_genes	input_biosynthesis_description	input_source	input_activity	input_concentration_activity	input_phenotype_associated	input_phenotype_direction	input_concentration_phenotype	input_references	input_references_link	grant_agency	grant_number	input_comment	task	user	database_id	input_confirmation	input_confirmation_description	createtime	inchikey	compound_inchikey	npatlas_url
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00006675942	"2,4-Dihydroxybenzoic Acid"	OC(=O)c1ccc(O)cc1O		Diet											Diet						35268605				"Biomarker based on literature search for: (cranberries ); Found in foodMASST for: (complex,complex, plant)"	c0fbfdf61b28442dadd0b3ef159ef01a	wilhan.nunes	c0fbfdf61b28442dadd0b3ef159ef01a-ebde2d54-bccb-41dd-bd28-5b29320f2b30	Not applicable		2025-01-31T00:20:40.086360	UIAFKZKHHVMJGS-UHFFFAOYSA-N		No NPAtlas
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00000578049	"2,5-Dimethylpyrazine"	Cc1cnc(C)cn1		Diet; Microbial metabolism of food molecules			1883	Streptomyces sp. MUM292							Diet; Microbial						32331666; 29805975				Biomarker based on literature search for: (cookies. Bread)	fa5720ff3e6845f7bb352845ac178c2f	wilhan.nunes	fa5720ff3e6845f7bb352845ac178c2f-c788002a-a79d-43d3-88e3-3d25a869f256	Not applicable		2025-01-30T23:22:23.878776	LCZUOKDVTBMCMX-UHFFFAOYSA-N		No NPAtlas
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00011430163	3-caffeoylquinic acid	O[C@@H]1C[C@](O)(C[C@@H](OC(=O)\C=C\c2ccc(O)c(O)c2)[C@@H]1O)C(O)=O		Diet											Diet						30519365				"Biomarker based on literature search for: (apple); Found in foodMASST for: (amaranth, orange bell pepper, iceberg lettuce, japanese eggplant, anise, rye, kale, young sweet corn, orange carrot, kombucha, cranberry, tomato, american cheese, cheese, strawberry, tupiro, crystal hops, yellow cherry tomato, napa cabbage, sparkling water, curly leaf lettuce, sunflower seed, honey, carrot, green pepper, globe artichoke, sunchoke, pineapple sage, rosemary, vegetable/herb, jalapeno pepper, tomato paste, quince, cassis, red bell pepper, plum, nasturtium leaf, yellow carrot, chili pepper, pachino cherry tomato, berry, apple, White tea, thai pepper, cilantro, navel orange, watermelon, matcha green tea, Black tea, blenham apricot, donut peach, herb/spice, carrot greens, Flavored Black tea, lemon grass, black bean, nectarine, styrian golding hops, cream cheese, rhubarb, cherry tomato, wonderberry, green bean, yerba mate, mineral water, olive oil spread, apricot, wild rice, fruit, animal, collard greens, cucumber, meat, green bell pepper, Matcha tea, plant, balsamic vinegar, salt, apple_cider, cactus, dill,artichoke, red raspberry, chocolate mint, orange cherry tomato, pitaya, yellow squash, duck, Rooibos, almond, chickpea, red cherry tomato, vegetable, green chili pepper, sugar plum tomatoes, cocura, betel nut leaf, sweet potato leaf, Pu'er tea, blueberry, timothy grass, grape tomato, nasturtium flower, spring roll, purple mangosteen, turkish fig, cauliflower, potato chip, white mushroom, frisee lettuce, orange, coconut, golden berry, curry plant, mint, beet, cabbage, barlett pear, white peach, butter leaf lettuce, duck breast, marigold, avocado, molasses, shishito pepper, purple carrot, mustard greens, mint mojito, complex, lemon balm, d anjou pear, green tomato, corn, blue cheese, Oolong tea, asian pear, potato, cherry, eggplant, Green tea, grain/grass, red lentil, dandelion green, romaine lettuce, thyme, smoked paprika, red leaf lettuce, coffee, onion, artichoke, fleshy fruit, bok choy, tarragon, marjoram, sage, pear, miyaki mushroom, hass avocado, morel, garlic, pepperonchini, dill flower, brussel sprout, medjool date, green squash, broccoli, fig, shiitake mushroom, green fennel, oregano, cannabis leaf, jicama, dragonfruit, Jerusalem artichoke, chicken, hemp, thai eggplant, mashed potato, salmon, fava bean, spicy pepper, sungold tomato, tea, blackberry, soybean, durum wheat, white carrot, tomatillo, turkey, garbanzo bean, mushroom plant, pea, roma tomato, pork cheek, grape, green curly baby romaine, corn husk, black mission fig, oyster mushroom, ground cherry, heirloom tomato, sweet potato, lacinato kale, lettuce, bay leaf, thai basil, heirloom lettuce, beef short rib, celery, purple lettuce, white onion)"	fd57221dda994c3cb62795a54ce7ca6c	wilhan.nunes	fd57221dda994c3cb62795a54ce7ca6c-6a8835c1-ba55-4bfe-bdee-49b990bebd95	Not applicable		2025-01-30T22:33:53.644542	CWVRJTMFETXNAD-JUHZACGLSA-N		No NPAtlas
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00004684689	3-Carboxy-4-methyl-5-propyl-2-furanpropionate	CCCc1oc(CCC(O)=O)c(C(O)=O)c1C		Diet; Host											Diet; Host						29783628				Biomarker based on literature search for: (fish)	fd57221dda994c3cb62795a54ce7ca6c	wilhan.nunes	fd57221dda994c3cb62795a54ce7ca6c-efaea528-a1d2-4715-9761-d3a31373d784	Not applicable		2025-01-30T22:15:37.024459	WMCQWXZMVIETAO-UHFFFAOYSA-N		No NPAtlas
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00006119183	3-Hydroxyhippuric acid	OC(=O)CNC(=O)c1cccc(O)c1		Diet; Unknown/Undefined; Host											Diet; Microbial; Host						32717940; 30228007; 12742116				"Biomarker based on literature search for: (fruit and vegetables); Found in foodMASST for: (milk_cow, milk_goat,milk_goat, yogurt_cow)"	fa5720ff3e6845f7bb352845ac178c2f	wilhan.nunes	fa5720ff3e6845f7bb352845ac178c2f-5b4c68da-8a8f-4ece-9f81-620e0de9d179	Not applicable		2025-01-30T23:23:13.520343	XDOFWFNMYJRHEW-UHFFFAOYSA-N		No NPAtlas
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00005436158	3-methyl-2-oxovaleric acid	CCC(C)C(=O)C(O)=O		Diet; Host											Diet; Host						23578631				"Biomarker based on literature search for: (pork meat); Found in foodMASST for: (carrot greens, amaranth, cowpea, oregano, yuca, tomato, bean, walnut, white peach, spicy pepper, cherry tomato,cassava flour, olive, blackberry, green pepper, winter onion, complex, grape, rosemary, corn husk, cucumber, potato, plant, palm fruit, eggplant, red bell pepper, plum, grain/grass, pumpkin blossom, plantain, cocura, pear, celery, garlic, white onion, cassava flour, basil, goat cheese)"	fd57221dda994c3cb62795a54ce7ca6c	wilhan.nunes	fd57221dda994c3cb62795a54ce7ca6c-b2de8f41-22f2-4b14-bb0d-a305755251fe	Not applicable		2025-01-30T22:15:39.603811	JVQYSWDUAOAHFM-UHFFFAOYSA-N		No NPAtlas
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00006120751	3-Methylhistidine	Cn1cncc1C[C@H](N)C(O)=O		Diet; Host											Diet; Host						29573154; 33563959; 24137022; 18252821				"Biomarker based on literature search for: (total meat,poultry (chicken)); Found in foodMASST for: (steak, top round, center meat, marchigiana beef, ahi tuna, langostino, trout, red onion, face meat, eye, chicken, head with eyeball, tuna, black pig, pork shoulder, skin, smelt, white meat, chicken dark meat, white fat, salmon, duck breast, american cheese, filet, red meat, head, turkey inner meat, lean, pelvic fins, sockeye salmon, durum wheat, ostrich jerkey, shoulder chops, tail fins, turkey fat, turkey, wild rice, free range, complex, ribs, fruit, turkey breast,beef, meat, rat skin and fur, turkey dark meat, potato, plant, butter, grain/grass, tail meat, fins, midsection, duck, snail, lizard head, cod, lamb, lettuce, bull, ground bison, chuck roast, lizard body, wheat, pot roast, chicken thigh, fatty meat, beef, shrimp, turkey outer surface)"	fa5720ff3e6845f7bb352845ac178c2f	wilhan.nunes	fa5720ff3e6845f7bb352845ac178c2f-aead5751-7161-43a6-a2ac-3e03371aebe7	Not applicable		2025-01-30T23:23:16.581078	JDHILDINMRGULE-LURJTMIESA-N		No NPAtlas
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00006121724	3-Methylxanthine	CN1C(=O)NC(=O)c2[nH]cnc12		Diet; Microbial metabolism of food molecules; Host	theobromine	CN1C=NC2=C1C(=O)NC(=O)N2C	75750; 41984	Aspergillus sydowii PT-2; Aspergillus tamarii PT-7							Diet; Microbial; Host						24145871; 32854634; 10215755				"Biomarker based on literature search for: (cocoa, chocolate); Found in foodMASST for: (bloomy cheese, veal, cheddar cheese,coffee, red grape, grain_fermented, tomato, shoulder roast, cherry tomato, peanut, olive, soybean, complex, fruit, blue cheese, corn husk, lavender, plant, lapacho bark, potato, apple_cider, plum, grain/grass, rice, gouda cheese, prosciutto, beef, pecorino cheese)"	fa5720ff3e6845f7bb352845ac178c2f	wilhan.nunes	fa5720ff3e6845f7bb352845ac178c2f-6c867a9a-4572-43dd-a562-0854c4df4e8d	Not applicable		2025-01-30T23:16:10.699557	GMSNIKWWOQHZGF-UHFFFAOYSA-N		No NPAtlas
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00005721228	3-p-coumaroylquinic acid	O[C@@H]1C[C@](O)(C[C@@H](OC(=O)/C=C/c2ccc(O)cc2)[C@@H]1O)C(O)=O		Diet											Diet						30519365				"Biomarker based on literature search for: (apple); Found in foodMASST for: (anise, orange carrot, kombucha, cranberry, tomato, milk Oolong, napa cabbage, sparkling water, curly leaf lettuce, carrot, green pepper, cloves, laurel, globe artichoke, vegetable/herb, quince, cassis, plum, nasturtium leaf, yellow carrot, curly parsley, apple, White tea, thai pepper, navel orange, lemon, cilantro, matcha green tea, Black tea, carrot greens, Flavored Black tea, styrian golding hops, walnut, rhubarb, cherry tomato, yerba mate, apricot, fruit, saurkraut, animal, collard greens, cucumber, Matcha tea, asparagus, plant, salt, apple_cider,lime leaf, red romaine lettuce, hazelnut, betel nut leaf, lizard arm, Pu'er tea, blueberry, timothy grass, grape tomato, nasturtium flower, cauliflower, mint, cabbage, butter leaf lettuce, barlett pear, molasses, purple carrot, lime, complex, green tomato, Oolong tea, cherry, eggplant, spinach, Green tea, grain/grass, dandelion green, romaine lettuce, coffee, red leaf lettuce, artichoke, fleshy fruit, bok choy, tarragon, miyaki mushroom, pear, garlic, brussel sprout, broccoli, shiitake mushroom, oregano, thai eggplant, tea, white carrot, green curly baby romaine, kalamata, lime leaf, ground cherry, sweet potato, lettuce, bay leaf, heirloom lettuce, celery)"	fd57221dda994c3cb62795a54ce7ca6c	wilhan.nunes	fd57221dda994c3cb62795a54ce7ca6c-878e559e-9ce0-430a-9a87-e01c493e3cbf	Not applicable		2025-01-30T22:33:58.513830	BMRSEYFENKXDIS-OTCYKTEZSA-N		No NPAtlas
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00006673433	3-Phenyllactic acid	OC(Cc1ccccc1)C(O)=O		"Diet; De novo biosynthesis by microbes (e.g., natural products and other specialized metabolites)"											Diet; Microbial						15063498	https://www.sciencedirect.com/science/article/abs/pii/S0023643821009336			"Biomarker based on literature search for: (L. crustorum fermented vegetable); Found in foodMASST for: (complex,corn husk, apple_cider, corn husk)"	fd57221dda994c3cb62795a54ce7ca6c	wilhan.nunes	fd57221dda994c3cb62795a54ce7ca6c-da76cb47-3d98-4b93-9992-82f9b457475c	Not applicable		2025-01-30T22:34:01.742253	VOXXWSYKYCBWHO-UHFFFAOYSA-N		No NPAtlas
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00011430200	4-caffeoylquinic acid	O[C@@H]1CC(O)(C[C@@H](O)C1OC(=O)\C=C\c2ccc(O)c(O)c2)C(O)=O		Diet											Diet						30519365				"Biomarker based on literature search for: (apple); Found in foodMASST for: (amaranth, orange bell pepper, iceberg lettuce, japanese eggplant, anise, rye, kale, young sweet corn, orange carrot, kombucha, cranberry, tomato, american cheese, cheese, strawberry, tupiro, crystal hops, yellow cherry tomato, napa cabbage, sparkling water, curly leaf lettuce, sunflower seed, honey, carrot, green pepper, globe artichoke, sunchoke, pineapple sage, rosemary, vegetable/herb, jalapeno pepper, tomato paste, quince, cassis, red bell pepper, plum, nasturtium leaf, yellow carrot, chili pepper, pachino cherry tomato, berry, apple, White tea, thai pepper, cilantro, watermelon, matcha green tea, Black tea, blenham apricot, donut peach, herb/spice, carrot greens, Flavored Black tea, lemon grass, black bean, nectarine, styrian golding hops, cream cheese, rhubarb, cherry tomato, wonderberry, green bean, yerba mate, mineral water, olive oil spread, apricot, wild rice, fruit, animal, collard greens, cucumber, meat, green bell pepper, Matcha tea, plant, balsamic vinegar, salt, apple_cider, dill,artichoke, chocolate mint, orange cherry tomato, pitaya, yellow squash, duck, Rooibos, almond, chickpea, red cherry tomato, vegetable, green chili pepper, sugar plum tomatoes, cocura, betel nut leaf, sweet potato leaf, Pu'er tea, blueberry, timothy grass, grape tomato, nasturtium flower, spring roll, purple mangosteen, turkish fig, cauliflower, potato chip, white mushroom, frisee lettuce, coconut, golden berry, curry plant, mint, beet, cabbage, barlett pear, white peach, butter leaf lettuce, duck breast, marigold, avocado, molasses, shishito pepper, purple carrot, mustard greens, mint mojito, complex, lemon balm, d anjou pear, green tomato, corn, blue cheese, Oolong tea, asian pear, potato, cherry, eggplant, Green tea, grain/grass, red lentil, dandelion green, romaine lettuce, thyme, smoked paprika, red leaf lettuce, coffee, onion, artichoke, fleshy fruit, bok choy, tarragon, marjoram, sage, pear, miyaki mushroom, hass avocado, morel, garlic, pepperonchini, dill flower, brussel sprout, green squash, broccoli, fig, shiitake mushroom, green fennel, oregano, cannabis leaf, jicama, dragonfruit, Jerusalem artichoke, chicken, hemp, thai eggplant, mashed potato, salmon, fava bean, spicy pepper, sungold tomato, tea, blackberry, soybean, durum wheat, white carrot, tomatillo, turkey, garbanzo bean, mushroom plant, pea, roma tomato, pork cheek, grape, green curly baby romaine, corn husk, black mission fig, oyster mushroom, ground cherry, heirloom tomato, sweet potato, lacinato kale, lettuce, bay leaf, thai basil, heirloom lettuce, beef short rib, celery, purple lettuce, white onion)"	fd57221dda994c3cb62795a54ce7ca6c	wilhan.nunes	fd57221dda994c3cb62795a54ce7ca6c-090813d4-e3c1-4bbe-9ef1-e1e3392cd679	Not applicable		2025-01-30T22:34:06.028665	GYFFKZTYYAFCTR-AVXJPILUSA-N		No NPAtlas
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00006679627	4-Guanidinobutanoic acid	NC(=N)NCCCC(O)=O		"Diet; De novo biosynthesis by microbes (e.g., natural products and other specialized metabolites); Host"			68280	Streptomyces violaceusniger DSM 4137							Diet; Microbial; Host						37238723				"Biomarker based on literature search for: (apple, loquats); Found in foodMASST for: (complex, beef,complex, grain/grass, turkey)"	fa5720ff3e6845f7bb352845ac178c2f	wilhan.nunes	fa5720ff3e6845f7bb352845ac178c2f-c4d6a885-7a4a-4d67-8d09-bbe4500ef617	Not applicable		2025-01-30T23:23:56.256752	TUHVEAJXIMEOSA-UHFFFAOYSA-N		No NPAtlas
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00005728472	4-Hydroxyphenylpyruvic acid	OC(=O)C(=O)Cc1ccc(O)cc1		Diet											Diet						23578631				Biomarker based on literature search for: (pork meat); Found in foodMASST for: (pomegranate)	fd57221dda994c3cb62795a54ce7ca6c	wilhan.nunes	fd57221dda994c3cb62795a54ce7ca6c-4f5ec9d0-bdcb-43b6-b09e-2cdf6fd33e82	Not applicable		2025-01-30T22:34:09.779560	KKADPXVIOXHVKN-UHFFFAOYSA-N		No NPAtlas
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00012420185	4-p-coumaroylquinic acid	O[C@@H]1CC(O)(C[C@@H](O)C1OC(=O)\C=C\c2ccc(O)cc2)C(O)=O		Diet											Diet						30519365				Biomarker based on literature search for: (apple)	fd57221dda994c3cb62795a54ce7ca6c	wilhan.nunes	fd57221dda994c3cb62795a54ce7ca6c-df631797-80d9-4cf8-8ae7-1ccea833143a	Not applicable		2025-01-30T22:35:09.967011	XWRHBGVVCOSNKO-OPGYGNEESA-N		No NPAtlas
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00012404201	5-caffeoylquinic acid	O[C@@H]1C[C@@](O)(C[C@@H](OC(=O)/C=C/c2ccc(O)c(O)c2)[C@H]1O)C(O)=O		Diet											Diet						30519365				"Biomarker based on literature search for: (apple); Found in foodMASST for: (amaranth, orange bell pepper, iceberg lettuce, japanese eggplant, anise, rye, kale, young sweet corn, orange carrot, kombucha, cranberry, tomato, american cheese, cheese, strawberry, tupiro, crystal hops, yellow cherry tomato, napa cabbage, sparkling water, curly leaf lettuce, sunflower seed, honey, carrot, green pepper, globe artichoke, sunchoke, pineapple sage, rosemary, vegetable/herb, jalapeno pepper, tomato paste, quince, cassis, red bell pepper, plum, nasturtium leaf, yellow carrot, chili pepper, pachino cherry tomato, berry, apple, White tea, thai pepper, cilantro, watermelon, matcha green tea, Black tea, blenham apricot, donut peach, herb/spice, carrot greens, Flavored Black tea, lemon grass, black bean, nectarine, styrian golding hops, cream cheese, rhubarb, cherry tomato, wonderberry, green bean, yerba mate, mineral water, olive oil spread, apricot, wild rice, fruit, animal, collard greens, cucumber, meat, green bell pepper, Matcha tea, plant, balsamic vinegar, salt, apple_cider, dill,artichoke, chocolate mint, orange cherry tomato, pitaya, yellow squash, duck, Rooibos, almond, chickpea, red cherry tomato, vegetable, green chili pepper, sugar plum tomatoes, cocura, betel nut leaf, sweet potato leaf, Pu'er tea, blueberry, timothy grass, grape tomato, nasturtium flower, spring roll, purple mangosteen, turkish fig, cauliflower, potato chip, white mushroom, frisee lettuce, coconut, golden berry, curry plant, mint, beet, cabbage, barlett pear, white peach, butter leaf lettuce, duck breast, marigold, avocado, molasses, shishito pepper, purple carrot, mustard greens, mint mojito, complex, lemon balm, d anjou pear, green tomato, corn, blue cheese, Oolong tea, asian pear, potato, cherry, eggplant, Green tea, grain/grass, red lentil, dandelion green, romaine lettuce, thyme, smoked paprika, red leaf lettuce, coffee, onion, artichoke, fleshy fruit, bok choy, tarragon, marjoram, sage, pear, miyaki mushroom, hass avocado, morel, garlic, pepperonchini, dill flower, brussel sprout, green squash, broccoli, fig, shiitake mushroom, green fennel, oregano, cannabis leaf, jicama, dragonfruit, Jerusalem artichoke, chicken, hemp, thai eggplant, mashed potato, salmon, fava bean, spicy pepper, sungold tomato, tea, blackberry, soybean, durum wheat, white carrot, tomatillo, turkey, grapefruit, garbanzo bean, mushroom plant, pea, roma tomato, pork cheek, grape, green curly baby romaine, corn husk, black mission fig, oyster mushroom, ground cherry, heirloom tomato, sweet potato, lacinato kale, lettuce, bay leaf, thai basil, heirloom lettuce, beef short rib, celery, purple lettuce, white onion)"	fd57221dda994c3cb62795a54ce7ca6c	wilhan.nunes	fd57221dda994c3cb62795a54ce7ca6c-e806d3f7-6924-4aa3-ae2e-f2c047b3d248	Not applicable		2025-01-30T22:36:10.241256	CWVRJTMFETXNAD-NXLLHMKUSA-N		No NPAtlas
