FEATURE_ID,NAME_USED,SYNONYMS,INCHIKEY,CPDAT_SUPERCLASSES,CPDAT_HARMONIZED,DEEPSEEK_RAG,GPT_NO_RAG,GPT_RAG,SEARCH_GPT
18,Spiramycin,"('Spiramycin', 'Rovamycin', 'Spiramycin i', 'Formacidine', 'Spiramycin a')",ACTOXUHEUCPTEW-JMRHEKERSA-N,[],,['MEDICAL'],['MEDICAL'],['MEDICAL'],['MEDICAL']
19,Dimercaptosuccinic acid,"('Succimer', 'Dimercaptosuccinic acid', 'Meso-2,3-dimercaptosuccinic acid', 'Meso-dimercaptosuccinic acid', 'Dim-sa')",,,,['MEDICAL'],['MEDICAL'],['MEDICAL'],['MEDICAL']
20,Diovan,"('Sacubitril/valsartan', 'Valsartan', 'Diovan', 'Tareg', 'Provas')",ACWBQPMHZXGDFX-QFIPXVFZSA-N,[],,['MEDICAL'],['MEDICAL'],['MEDICAL'],['MEDICAL']
21,Atuveciclib,"('Atuveciclib', 'Atuveciclib [inn]')",ACWKGTGIJRCOOM-HHHXNRCGSA-N,[],,['MEDICAL'],['MEDICAL'],['MEDICAL'],['INFO']
22,Mektovi,"('Binimetinib', 'Mektovi', 'Binimetinib (mek-162)', 'Binimetinib (mek162, arry-162, arry-438162)', 'Binimetinib [usan:inn]')",ACWZRVQXLIRSDF-UHFFFAOYSA-N,[],,['MEDICAL'],['MEDICAL'],['MEDICAL'],['MEDICAL']
23,Aricept,"('Donepezil', 'Aricept', 'Donepezilo', '(s)-e2020 (free base)', 'Donepezil [inn:ban]')",ADEBPBSSDYVVLD-UHFFFAOYSA-N,[],,['MEDICAL'],['MEDICAL'],['MEDICAL'],['MEDICAL']
24,S-equol,"('(s)-equol', 'Equol', '(s)-3-(4-hydroxyphenyl)chroman-7-ol', 'S-equol', '(s)-3,4-dihydro-3-(4-hydroxyphenyl)-2h-1-benzopyran-7-ol')",ADFCQWZHKCXPAJ-GFCCVEGCSA-N,[],,"['ENDOGENOUS', 'FOOD', 'MEDICAL', 'PERSONAL CARE']",['FOOD'],"['FOOD', 'PERSONAL CARE', 'MEDICAL']",['INFO']
25,Equol,"('(±)-equol', 'Equol', '(r,s)-equol', '( inverted exclamation marka)-equol', 'Rac-equol')",ADFCQWZHKCXPAJ-GFCCVEGCSA-N,[],,"['FOOD', 'ENDOGENOUS', 'MEDICAL', 'PERSONAL CARE']","['ENDOGENOUS', 'FOOD']","['ENDOGENOUS', 'FOOD', 'PERSONAL CARE', 'MEDICAL']",['INFO']
26,Estracyt,"('Estramustine (phosphate sodium)', 'Estracyt', 'Emcyt (free acid)', 'Leo 299', 'Ls 299')",,,,['MEDICAL'],['MEDICAL'],['MEDICAL'],['MEDICAL']
27,Bimiralisib,"('Bimiralisib', 'Bimiralisib [inn]', 'Bimiralisib [usan]', 'Bimiralisib [who-dd]', 'Bimiralisib (pqr309)')",ADGGYDAFIHSYFI-UHFFFAOYSA-N,[],,['MEDICAL'],['MEDICAL'],['MEDICAL'],['INFO']
28,Cysteine sulfinic acid,"('Cysteinesulfinic acid (monohydrate)', 'Cysteinesulfinic acid', '(2r)-2-amino-3-sulfinopropanoic acid', 'Cysteine sulfinic acid', 'Cysteine sulfinate')",,,,['ENDOGENOUS'],['ENDOGENOUS'],['ENDOGENOUS'],['ENDOGENOUS']
29,Verdia,"('Tasosartan', 'Verdia', 'Taso-sartan', 'Tasosartan (usan/inn)', 'Tasosartan [usan:inn:ban]')",ADXGNEYLLLSOAR-UHFFFAOYSA-N,[],,['FOOD'],['INFO'],['INFO'],['INFO']
30,Sotuletinib,"('Sotuletinib', 'Ex-a817', 'S7725', 'N-methyl-4-[2-[[(1r,2r)-2-hydroxycyclohexyl]amino]benzothiazole-6-yloxy]pyridine-2-carboxamide')",ADZBMFGQQWPHMJ-RHSMWYFYSA-N,[],,['MEDICAL'],['MEDICAL'],['MEDICAL'],['INFO']
31,Rostafuroxin,"('Rostafuroxin', 'Rostafuroxin (pst 2238)', '(3s,5r,8r,9s,10s,13s,14s,17s)-17-(furan-3-yl)-10,13-dimethyl-2,3,4,5,6,7,8,9,11,12,15,16-dodecahydro-1h-cyclopenta[a]phenanthrene-3,14,17-triol', '(3s,5r,8r,9s,10s,13s,14s,17s)-17-(furan-3-yl)-10,13-dimethylhexadecahydro-14h-cyclopenta[a]phenanthrene-3,14,17-triol', 'Rostafuroxin [inn]')",,,,['MEDICAL'],['MEDICAL'],['MEDICAL'],['MEDICAL']
32,Tranylcypromine,"('Tranylcypromine (hemisulfate)', 'Tranylcypromine hemisulfate', 'Trans-2-phenylcyclopropylamine hemisulfate salt', 'Tranylcypromine', '(1r,2s)-2-phenylcyclopropanamine')",AELCINSCMGFISI-DTWKUNHWSA-N,[],,['MEDICAL'],['MEDICAL'],['MEDICAL'],['MEDICAL']
33,Hydroxyethanoic acid,"('Glycolic acid', 'Hydroxyacetic acid', 'Glycollic acid', 'Hydroxyethanoic acid', 'Acetic acid, hydroxy-')",AEMRFAOFKBGASW-UHFFFAOYSA-N,"['Vehicle', 'Personal care', 'Construction and building materials', 'Home maintenance', 'Cleaning products and household care']","['PERSONAL CARE', 'INDUSTRIAL']","['PERSONAL CARE', 'FOOD', 'INDUSTRIAL']","['FOOD', 'PERSONAL CARE', 'INDUSTRIAL']","['FOOD', 'PERSONAL CARE', 'INDUSTRIAL']",['INFO']
34,Ethionamide,"('Ethionamide',)",AEOCXXJPGCBFJA-UHFFFAOYSA-N,[],,['MEDICAL'],['MEDICAL'],['MEDICAL'],['MEDICAL']
35,Tetrahydropalmatine,"('Rotundine', 'Tetrahydropalmatine', 'Gindarine', '(s)-tetrahydropalmatine', 'Caseanine')",AEQDJSLRWYMAQI-KRWDZBQOSA-N,[],,"['MEDICAL', 'FOOD']",['INFO'],"['MEDICAL', 'FOOD']","['MEDICAL', 'FOOD']"
36,Rotundine,"('Tetrahydropalmatine', 'Rotundine', 'Corydalis b', 'Tetrahydropalmatine;l-tetrahydropalmatine', 'Tetrahydropalmatin')",AEQDJSLRWYMAQI-QGZVFWFLSA-N,[],,"['MEDICAL', 'FOOD']",['MEDICAL'],"['MEDICAL', 'FOOD']",['INFO']
37,Phytosphingosine,"('Phytosphingosine', '(2s,3s,4r)-2-aminooctadecane-1,3,4-triol', 'Ribo-phytosphingosine', 'N-dodecanoyl-nbd-phytosphingosine', 'D-ribo-phytosphingosine')",AERBNCYCJBRYDG-KSZLIROESA-N,['Personal care'],['PERSONAL CARE'],"['ENDOGENOUS', 'FOOD', 'MEDICAL']","['ENDOGENOUS', 'PERSONAL CARE', 'FOOD']",['INFO'],['INFO']
38,Ethambutol,"('Ethambutol (dihydrochloride)', 'Emb dihydrochloride', 'Ethambutol', 'Ethambutolum', 'Aethambutolum')",,,,['MEDICAL'],['MEDICAL'],['MEDICAL'],['MEDICAL']
39,Brensocatib,"('Brensocatib', '(s)-n-((s)-1-cyano-2-(4-(3-methyl-2-oxo-2,3-dihydrobenzo[d]oxazol-5-yl)phenyl)ethyl)-1,4-oxazepane-2-carboxamide', '(2s)-n-[(1s)-1-cyano-2-[4-(3-methyl-2-oxo-1,3-benzoxazol-5-yl)phenyl]ethyl]-1,4-oxazepane-2-carboxamide', 'Brensocatib [usan]', 'Ex-a1866')",AEXFXNFMSAAELR-RXVVDRJESA-N,[],,['MEDICAL'],['MEDICAL'],['MEDICAL'],['MEDICAL']
40,Campral,"('Acamprosate (calcium)', 'Calcium n-acetylhomotaurinate', 'Acamprosate', 'N-acetylhomotaurine', 'Campral')",,,,['MEDICAL'],['MEDICAL'],['MEDICAL'],['MEDICAL']
41,S1313,"('Cyclopentyl 2-cyclohexyl-2-((6-(3-(hydroxyamino)-3-oxopropyl)pyridin-3-yl)methylamino)acetate', 'Cyclopentyl (2s)-2-cyclohexyl-2-[[6-[3-(hydroxyamino)-3-oxopropyl]pyridin-3-yl]methylamino]acetate', 'Cyclopentyl (s)-2-cyclohexyl-2-(((6-(3-(hydroxyamino)-3-oxopropyl)pyridin-3-yl)methyl)amino)acetate', 'Ex-a3827', 'S1313')",AFDPFLDWOXXHQM-NRFANRHFSA-N,[],,['MEDICAL'],['INFO'],['MEDICAL'],['INFO']
42,Barbaloin,"('Aloin', 'Aloin-a', 'Barbaloin-a', 'Barbaloin', 'Aloin a')",AFHJQYHRLPMKHU-UHFFFAOYSA-N,[],,"['MEDICAL', 'FOOD']",['FOOD'],"['FOOD', 'PERSONAL CARE', 'INDUSTRIAL']",['INFO']
43,Aloin,"('Aloin b', 'Aloin-b', 'Isobarbaloin', 'Aloin', 'Aloin a')",AFHJQYHRLPMKHU-UHFFFAOYSA-N,[],,"['MEDICAL', 'FOOD', 'INFO']","['FOOD', 'INDUSTRIAL']","['FOOD', 'PERSONAL CARE', 'INDUSTRIAL']","['FOOD', 'PERSONAL CARE']"
44,Afuresertib,"('Afuresertib', 'N-[(2s)-1-amino-3-(3-fluorophenyl)propan-2-yl]-5-chloro-4-(4-chloro-2-methylpyrazol-3-yl)thiophene-2-carboxamide', 'Afuresertib [usan:inn]', 'Afuresertib (usan)', 'Ex-a1574')",AFJRDFWMXUECEW-LBPRGKRZSA-N,[],,['MEDICAL'],['MEDICAL'],['MEDICAL'],['INFO']
45,Stronghold,"('Selamectin', 'Revolution', 'Stronghold', ""(1r,4s,5's,6r,6's,8r,10e,12s,13s,14e,16e,20r,21z,24s)-6'-cyclohexyl-24-hydroxy-21-hydroxyimino-12-[(2r,4s,5s,6s)-5-hydroxy-4-methoxy-6-methyloxan-2-yl]oxy-5',11,13,22-tetramethylspiro[3,7,19-trioxatetracyclo[15.6.1.14,8.020,24]pentacosa-10,14,16,22-tetraene-6,2'-oxane]-2-one"", 'Revolution (antibiotic)')",AFJYYKSVHJGXSN-XHKIUTQPSA-N,[],,['INFO'],['INFO'],['INFO'],['INFO']
46,Elafibranor,"('Elafibranor', 'Elafibranor [usan]', 'Elafibranor(gft505)', 'Elafibranor (usan)', '(e)-2-(2,6-dimethyl-4-(3-(4-(methylthio)phenyl)-3-oxoprop-1-en-1-yl)phenoxy)-2-methylpropanoic acid')",AFLFKFHDSCQHOL-IZZDOVSWSA-N,[],,['MEDICAL'],['MEDICAL'],['MEDICAL'],['MEDICAL']
47,Sulconazole,"('Sulconazole (mononitrate)', '(±)-sulconazole (mononitrate)', 'Sulconazole', 'Sulconazolum', 'Sulconazol')",AFNXATANNDIXLG-UHFFFAOYSA-N,[],,['MEDICAL'],['MEDICAL'],['MEDICAL'],['MEDICAL']
48,Ellagic acid,"('Ellagic acid', 'Benzoaric acid', 'Lagistase', 'Elagostasine', 'Eleagic acid')",AFSDNFLWKVMVRB-UHFFFAOYSA-N,[],,"['FOOD', 'ENDOGENOUS']",['FOOD'],['FOOD'],"['FOOD', 'PERSONAL CARE']"
49,Pumosetrag,"('Pumosetrag hydrochloride', 'Pumosetrag', 'Pumosetrag [inn]', 'N-((3r)-1-azabicyclo(2.2.2)oct-3-yl)-7-oxo-4,7-dihydrothieno(3,2-b)pyridine-6-carboxamide', '(r)-7-oxo-n-(quinuclidin-3-yl)-4,7-dihydrothieno[3,2-b]pyridine-6-carboxamide')",AFUWQWYPPZFWCO-LBPRGKRZSA-N,[],,['MEDICAL'],['MEDICAL'],['MEDICAL'],['INFO']
50,Cefditoren pivoxil,"('Cefditoren (pivoxil)', 'Cefditoren pivoxyl', 'Cefditoren pivaloyloxymethyl ester', 'Me 1207', 'Cefditoren pivoxil')",AFZFFLVORLEPPO-BFQXLQLQSA-N,[],,['MEDICAL'],['MEDICAL'],['MEDICAL'],['MEDICAL']
51,Lipoic acid,"('Lipoic acid', '(r)-ϱ-lipoic acid', 'R-thioctic acid', '(r)-lipoic acid', '(r)-5-(1,2-dithiolan-3-yl)pentanoic acid')",,,,"['MEDICAL', 'ENDOGENOUS', 'FOOD']","['MEDICAL', 'FOOD']","['ENDOGENOUS', 'FOOD', 'MEDICAL']","['ENDOGENOUS', 'FOOD', 'MEDICAL', 'PERSONAL CARE']"
52,Siremadlin,"('Siremadlin', '(6s)-5-(5-chloro-1,2-dihydro-1-methyl-2-oxo-3-pyridinyl)-6-(4-chlorophenyl)-2-(2,4-dimethoxy-5-pyrimidinyl)-5,6-dihydro-1-(1-methylethyl)-pyrrolo[3,4-d]imidazol-4(1h)-one', 'Pyrrolo[3,4-d]imidazol-4(1h)-one, 5-(5-chloro-1,2-dihydro-1-methyl-2-oxo-3-pyridinyl)-6-(4-chlorophenyl)-2-(2,4-dimethoxy-5-pyrimidinyl)-5,6-dihydro-1-(1-methylethyl)-, (6s)-', '(4~{s})-5-(5-chloranyl-1-methyl-2-oxidanylidene-pyridin-3-yl)-4-(4-chlorophenyl)-2-(2,4-dimethoxypyrimidin-5-yl)-3-propan-2-yl-4~{h}-pyrrolo[3,4-d]imidazol-6-one', 'Pyrrolo(3,4-d)imidazol-4(1h)-one, 5-(5-chloro-1,2-dihydro-1-methyl-2-oxo-3-pyridinyl)-6-(4-chlorophenyl)-2-(2,4-dimethoxy-5-pyrimidinyl)-5,6-dihydro-1-(1-methylethyl)-, (6s)-')",AGBSXNCBIWWLHD-FQEVSTJZSA-N,[],,['INFO'],['MEDICAL'],['INFO'],['INFO']
53,Drofenine,"('Drofenine (hydrochloride)', 'Hexahydroadiphenine hydrochloride', 'Drofenine', 'Cycloadiphenine', 'Hexahydroadiphenine')",AGJBLWCLQCKRJP-UHFFFAOYSA-N,[],,['MEDICAL'],['MEDICAL'],['MEDICAL'],['INFO']
54,Klaricid,"('Clarithromycin', 'Biaxin', 'Klaricid', 'Clarithromycine', 'Clathromycin')",AGOYDEPGAOXOCK-KCBOHYOISA-N,[],,['MEDICAL'],['MEDICAL'],['MEDICAL'],['INFO']
55,Alloisoleucine,"('Alloisoleucine', '(3r)-ls-isoleucine', 'Allo-isoleucine', '(2s,3r)-2-amino-3-methylpentanoic acid', 'H-allo-ile-oh')",AGPKZVBTJJNPAG-UHNVWZDZSA-N,[],,"['ENDOGENOUS', 'FOOD']","['ENDOGENOUS', 'FOOD']",['INFO'],['ENDOGENOUS']
56,Isoleucine,"('Isoleucine', '(2s,3s)-2-amino-3-methylpentanoic acid', '(s)-isoleucine', '(s,s)-isoleucine', 'H-ile-oh')",AGPKZVBTJJNPAG-WHFBIAKZSA-N,['Personal care'],['PERSONAL CARE'],"['FOOD', 'ENDOGENOUS']",['FOOD'],['FOOD'],"['FOOD', 'PERSONAL CARE']"
57,Suglat,"('Ipragliflozin', 'Suglat', '(2s,3r,4r,5s,6r)-2-[3-(1-benzothiophen-2-ylmethyl)-4-fluorophenyl]-6-(hydroxymethyl)oxane-3,4,5-triol', 'Ipragliflozin [inn]', 'Ipragliflozin (asp1941)')",,,,['MEDICAL'],['MEDICAL'],['MEDICAL'],['INFO']
58,Ibrance,"('Palbociclib (isethionate)', 'Pd 0332991 isethionate', 'Palbociclib', 'Ibrance', 'Pd 0332991')",AHJRHEGDXFFMBM-UHFFFAOYSA-N,[],,['MEDICAL'],['MEDICAL'],['MEDICAL'],['MEDICAL']
59,Encequidar,"('Encequidar', 'Pgp inhibitor hm30181ak', 'N-[2-[2-[4-[2-(6,7-dimethoxy-3,4-dihydro-1h-isoquinolin-2-yl)ethyl]phenyl]tetrazol-5-yl]-4,5-dimethoxyphenyl]-4-oxochromene-2-carboxamide', 'Encequidar [usan]', 'Encequidar (usan/inn)')",AHJUHHDDCJQACA-UHFFFAOYSA-N,[],,['MEDICAL'],['MEDICAL'],['MEDICAL'],['MEDICAL']
60,Alli,"('Orlistat', 'Tetrahydrolipstatin', 'Ro-18-0647', 'Xenical', 'Alli')",AHLBNYSZXLDEJQ-FWEHEUNISA-N,[],,['INFO'],['MEDICAL'],['INFO'],['MEDICAL']
61,Ornithine,"('(r)-ornithine hydrochloride', 'Ornithine', '(2r)-2,5-diaminopentanoic acid', '(r)-2,5-diaminopentanoic acid', '(r)-ornithine')",AHLPHDHHMVZTML-SCSAIBSYSA-N,[],,"['ENDOGENOUS', 'FOOD', 'MEDICAL']","['ENDOGENOUS', 'FOOD']","['ENDOGENOUS', 'MEDICAL']","['ENDOGENOUS', 'FOOD', 'PERSONAL CARE']"
62,Vebonol,"('Boldenone undecylenate', 'Ba 29038', 'Parenabol', 'Vebonol', 'Boldenone 10-undecenoate')",AHMMSNQYOPMLSX-UHFFFAOYSA-N,[],,"['MEDICAL', 'INDUSTRIAL']",['INFO'],['INDUSTRIAL'],['INFO']
63,Paxil cr,"('Paroxetine (hydrochloride)', 'Paroxetine', 'Paxil', 'Paxil cr', 'Frosinor')",AHOUBRCZNHFOSL-YOEHRIQHSA-N,[],,['MEDICAL'],['MEDICAL'],['MEDICAL'],['MEDICAL']
64,Brigatinib,"('Brigatinib', 'Brigatinib (ap-26113)', 'Ap 26113', '(2-((5-chloro-2-((2-methoxy-4-(4-(4-methylpiperazin-1-yl)piperidin-1-yl)phenyl)amino)pyrimidin-4-yl)amino)phenyl)dimethylphosphine oxide', 'Brigatinib [usan]')",,,,['MEDICAL'],['MEDICAL'],['MEDICAL'],['MEDICAL']
65,Hesperitin,"('Hesperetin', 'Hesperitin', '(s)-5,7-dihydroxy-2-(3-hydroxy-4-methoxyphenyl)chroman-4-one', ""Cyanidanon 4'-methyl ether 1626"", '(2s)-5,7-dihydroxy-2-(3-hydroxy-4-methoxyphenyl)-2,3-dihydrochromen-4-one')",AIONOLUJZLIMTK-AWEZNQCLSA-N,[],,"['FOOD', 'INFO']",['FOOD'],['FOOD'],['INFO']
66,Plenaxis,"('Abarelix (acetate)', 'R 3827 (acetate)', 'Abarelix', 'Plenaxis', 'R 3827')",AIWRTTMUVOZGPW-HSPKUQOVSA-N,[],,['MEDICAL'],['MEDICAL'],['MEDICAL'],['INFO']
67,Taurolidine,"('Taurolidine', 'Taurolidin', 'Taurolin', 'Taurolidina', 'Taurolidinum')",,,,"['MEDICAL', 'ENDOGENOUS']",['MEDICAL'],['MEDICAL'],['MEDICAL']
68,Compactin,"('Mevastatin', 'Compactin', 'Ec 700-442-0', 'Mevastatina', 'Mevastatine')",AJLFOPYRIVGYMJ-INTXDZFKSA-N,[],,"['MEDICAL', 'INDUSTRIAL']","['MEDICAL', 'FOOD']",['MEDICAL'],['INFO']
69,Fenretinide,"('Fenretinide', 'N-(4-hydroxyphenyl)retinamide', 'Retinoic acid p-hydroxyanilide', ""All-trans-4'-hydroxyretinanilide"", 'Fenretinida')",AKJHMTWEGVYYSE-FXILSDISSA-N,[],,['MEDICAL'],['MEDICAL'],['MEDICAL'],['MEDICAL']
70,Xerava,"('Eravacycline (dihydrochloride)', 'Xerava', '(4s,4as,5ar,12ar)-4-(dimethylamino)-7-fluoro-1,10,11,12a-tetrahydroxy-3,12-dioxo-9-[(2-pyrrolidin-1-ylacetyl)amino]-4a,5,5a,6-tetrahydro-4h-tetracene-2-carboxamide', 'Eravacycline [usan:inn]', 'Eravacycline (usan)')",,,,['MEDICAL'],['MEDICAL'],['MEDICAL'],['MEDICAL']
71,Noscapine,"('Noscapine', '(s,r)-noscapine', 'Tusscapine', 'Terbenol', 'Capval')",AKNNEGZIBPJZJG-UHFFFAOYSA-N,[],,"['MEDICAL', 'FOOD']","['MEDICAL', 'FOOD']",['MEDICAL'],['MEDICAL']
72,Tavapadon,"('(rac)-tavapadon', '(rac)-pf-06649751', '(rac)-cvl-751', 'Tavapadon', 'Tavapadon (usan)')",AKQXQLUNFKDZBN-UHFFFAOYSA-N,[],,['MEDICAL'],['MEDICAL'],['MEDICAL'],['MEDICAL']
73,Tepilamide fumarate,"('Tepilamide fumarate', 'Tepilamide fumarate [usan]', 'Tepilamide fumarate (usan/inn)', 'Xp 23829', '(n,n-diethylcarbamoyl)methyl methyl (2e)but-2-ene-1,4-dioate')",AKUGRXRLHCCENI-VOTSOKGWSA-N,[],,['MEDICAL'],['MEDICAL'],['MEDICAL'],['INFO']
74,Dexamethasone acetate,"('Dexamethasone acetate', 'Dexamethasone 21-acetate', 'Hexadecadrol acetate', 'Decadronal', 'Panasone')",AKUJBENLRBOFTD-RPRRAYFGSA-N,[],,['MEDICAL'],['MEDICAL'],['MEDICAL'],['MEDICAL']
75,Cortifoam,"('Hydrocortisone acetate', 'Hydrocortisone 21-acetate', 'Cortisol 21-acetate', 'Cortell', 'Cortifoam')",ALEXXDVDDISNDU-JZYPGELDSA-N,[],,"['MEDICAL', 'ENDOGENOUS']",['MEDICAL'],"['MEDICAL', 'ENDOGENOUS']",['MEDICAL']
