FEATURE_ID,NAME_USED,SYNONYMS,INCHIKEY,CPDAT_SUPERCLASSES,CPDAT_HARMONIZED,DEEPSEEK_RAG,GPT_NO_RAG,GPT_RAG,SEARCH_GPT
1257,Hexadecyl alcohol,"('Cetyl alcohol', 'Hexadecan-1-ol', 'Cetanol', 'Palmityl alcohol', 'Hexadecyl alcohol')",,"['Raw materials', 'Personal care']","['PERSONAL CARE', 'INDUSTRIAL']","['PERSONAL CARE', 'INDUSTRIAL']","['INDUSTRIAL', 'PERSONAL CARE']","['PERSONAL CARE', 'INDUSTRIAL']","['PERSONAL CARE', 'INDUSTRIAL']"
1260,Tetryzoline,"('Tetrahydrozoline (hydrochloride)', 'Tetryzoline (hydrochloride)', 'Tetrahydrozoline', 'Tetryzoline', 'Tetryzolin')",BYJAVTDNIXVSPW-UHFFFAOYSA-N,['Personal care'],['PERSONAL CARE'],['MEDICAL'],['MEDICAL'],['MEDICAL'],['MEDICAL']
1270,N-acetyl-l-tyrosine,"('N-acetyl-l-tyrosine', 'Ac-tyr-oh', 'N-acetyl-tyrosine', 'Acetyl tyrosine', 'Tyrosine, n-acetyl-')",CAHKINHBCWCHCF-JTQLQIEISA-N,['Personal care'],['PERSONAL CARE'],"['ENDOGENOUS', 'MEDICAL']",['INFO'],"['ENDOGENOUS', 'MEDICAL']",['INFO']
1280,Muco-inositol,"('Chiro-inositol', 'Myo-inositol', 'Inositol', 'Scyllo-inositol', 'Muco-inositol')",,"['Pet care', 'Personal care']","['PERSONAL CARE', 'INDUSTRIAL']",['INFO'],"['ENDOGENOUS', 'FOOD']",['INFO'],['INFO']
1297,Isoascorbic acid,"('Erythorbic acid', 'Isoascorbic acid', 'Araboascorbic acid', 'Isovitamin c', 'Erycorbin')",,['Personal care'],['PERSONAL CARE'],"['FOOD', 'INDUSTRIAL']","['FOOD', 'INDUSTRIAL']","['FOOD', 'INDUSTRIAL']","['FOOD', 'PERSONAL CARE', 'INDUSTRIAL']"
1298,Ascoltin,"('Ascorbic acid', 'Ascorbate', 'Vitamin c', 'Lascorbic acid', 'Ascoltin')",CIWBSHSKHKDKBQ-JLAZNSOCSA-N,"['Pet care', 'Personal care', 'Raw materials', 'Laboratory supplies']","['PERSONAL CARE', 'INDUSTRIAL']",['INFO'],['INFO'],"['MEDICAL', 'FOOD', 'PERSONAL CARE']",['INFO']
1306,Aspartate,"('Aspartic acid', '(r)-aspartic acid', '(r)-2-aminosuccinic acid', 'Aspartate', 'H-d-asp-oh')",,['Personal care'],['PERSONAL CARE'],"['ENDOGENOUS', 'FOOD']","['ENDOGENOUS', 'FOOD']","['ENDOGENOUS', 'FOOD', 'INDUSTRIAL']","['ENDOGENOUS', 'FOOD']"
1307,Asparagic acid,"('Aspartic acid (calcium)', 'Calcium l-aspartate', 'Aspartic acid', 'H-asp-oh', 'Asparagic acid')",CKLJMWTZIZZHCS-REOHCLBHSA-N,['Personal care'],['PERSONAL CARE'],"['ENDOGENOUS', 'FOOD']",['INFO'],"['ENDOGENOUS', 'FOOD', 'INDUSTRIAL']",['INFO']
1321,Phenylalanine,"('Phenylalanine', 'H-d-phe-oh', '(2r)-2-amino-3-phenylpropanoic acid', 'Sabiden', 'Phenylalanine d-form')",,['Personal care'],['PERSONAL CARE'],"['FOOD', 'ENDOGENOUS', 'MEDICAL']","['ENDOGENOUS', 'FOOD']","['FOOD', 'MEDICAL']",['FOOD']
1329,Carnosine,"('Carnosine', 'Beta-alanyl-l-histidine', 'Karnozin', 'Ignotine', 'Karnozzn')",,['Personal care'],['PERSONAL CARE'],"['ENDOGENOUS', 'FOOD', 'PERSONAL CARE']","['ENDOGENOUS', 'FOOD']","['ENDOGENOUS', 'FOOD', 'PERSONAL CARE']","['ENDOGENOUS', 'FOOD', 'PERSONAL CARE']"
1347,Saccharine,"('Saccharin', 'O-benzoic sulfimide', 'O-sulfobenzimide', 'Saccharine', 'Saccharimide')",CVHZOJJKTDOEJC-UHFFFAOYSA-N,"['Home maintenance', 'Personal care']","['PERSONAL CARE', 'INDUSTRIAL']","['FOOD', 'INDUSTRIAL']",['FOOD'],"['FOOD', 'INDUSTRIAL']",['FOOD']
1348,Krebiozon,"('Creatine', 'Creatin', 'Kreatin', 'N-amidinosarcosine', 'Krebiozon')",CVSVTCORWBXHQV-UHFFFAOYSA-N,['Personal care'],['PERSONAL CARE'],"['INFO', 'ENDOGENOUS', 'FOOD', 'MEDICAL']",['MEDICAL'],['INFO'],['INFO']
1358,Sungard,"('Sulisobenzone', 'Benzophenone-4', 'Sungard', 'Benzophenone 4', 'Uval')",CXVGEDCSTKKODG-UHFFFAOYSA-N,['Personal care'],['PERSONAL CARE'],['INDUSTRIAL'],['INFO'],['INFO'],['INDUSTRIAL']
1365,White sugar,"('Sucrose', 'Saccharose', 'Cane sugar', 'Table sugar', 'White sugar')",CZMRCDWAGMRECN-UGDNZRGBSA-N,"['Landscape/yard', 'Raw materials', 'Personal care', 'Pesticides', 'Cleaning products and household care']","['PERSONAL CARE', 'INDUSTRIAL']",['FOOD'],['FOOD'],['FOOD'],['FOOD']
1371,Theanine,"('Theanine', 'Glutamic acid ϳ-ethyl amide', 'Nϳ-ethyl-l-glutamine', 'Theanin', 'Suntheanine')",DATAGRPVKZEWHA-YFKPBYRVSA-N,"['Pet care', 'Personal care']","['PERSONAL CARE', 'INDUSTRIAL']","['FOOD', 'MEDICAL']",['FOOD'],"['FOOD', 'PERSONAL CARE']",['FOOD']
1379,Etidronate,"('Etidronic acid', 'Etidronate', 'Etidronsaeure', 'Acetodiphosphonic acid', 'Hydroxyethanediphosphonic acid')",DBVJJBKOTRCVKF-UHFFFAOYSA-N,"['Landscape/yard', 'Personal care', 'Pet care', 'Cleaning products and household care']","['PERSONAL CARE', 'INDUSTRIAL']","['MEDICAL', 'INDUSTRIAL', 'PERSONAL CARE']",['MEDICAL'],"['MEDICAL', 'INDUSTRIAL', 'PERSONAL CARE']",['MEDICAL']
1393,Pyridine-3-carboxamide,"('Nicotinamide', 'Niacinamide', 'Nicotinic acid amide', 'Pyridine-3-carboxamide', 'Vitamin pp')",DFPAKSUCGFBDDF-UHFFFAOYSA-N,"['Pet care', 'Personal care']","['PERSONAL CARE', 'INDUSTRIAL']","['MEDICAL', 'FOOD', 'ENDOGENOUS']","['MEDICAL', 'FOOD']","['MEDICAL', 'ENDOGENOUS', 'FOOD', 'PERSONAL CARE']",['INFO']
1401,Aminoethanoic acid,"('Ferrous bisglycinate', 'Glycine', 'Aminoacetic acid', 'Glycocoll', 'Aminoethanoic acid')",DHMQDGOQFOQNFH-UHFFFAOYSA-N,"['Personal care', 'Cleaning products and household care']","['PERSONAL CARE', 'INDUSTRIAL']","['ENDOGENOUS', 'FOOD', 'INDUSTRIAL', 'MEDICAL']","['ENDOGENOUS', 'FOOD']","['ENDOGENOUS', 'FOOD', 'INDUSTRIAL']",['INFO']
1418,Acetic acid amide,"('Acetamide', 'Ethanamide', 'Acetic acid amide', 'Methanecarboxamide', 'Acetimidic acid')",,['Personal care'],['PERSONAL CARE'],['INDUSTRIAL'],['INFO'],['INDUSTRIAL'],"['INDUSTRIAL', 'FOOD']"
1424,Methylethylene glycol,"('(±)-1,2-propanediol', 'Propylene glycol', 'Propane-1,2-diol', 'Methylethyl glycol', 'Methylethylene glycol')",DNIAPMSPPWPWGF-UHFFFAOYSA-N,"['Raw materials', 'Vehicle', 'Personal care', 'Arts and crafts/office supplies', 'Cleaning products and household care']","['PERSONAL CARE', 'INDUSTRIAL']","['FOOD', 'INDUSTRIAL', 'MEDICAL', 'PERSONAL CARE']",['INFO'],"['FOOD', 'MEDICAL', 'PERSONAL CARE', 'INDUSTRIAL']",['INFO']
1433,Butyl phthalate,"('Dibutyl phthalate', 'Di-n-butyl phthalate', 'N-butyl phthalate', 'Butyl phthalate', 'Celluflex dpb')",DOIRQSBPFJWKBE-UHFFFAOYSA-N,"['Home maintenance', 'Personal care', 'Manufactured formulations']","['PERSONAL CARE', 'INDUSTRIAL']","['INDUSTRIAL', 'PERSONAL CARE']",['INDUSTRIAL'],['INDUSTRIAL'],"['INDUSTRIAL', 'PERSONAL CARE']"
1448,Circadin,"('Melatonin', 'N-acetyl-5-methoxytryptamine', 'Melatonine', 'N-[2-(5-methoxy-1h-indol-3-yl)ethyl]acetamide', 'Circadin')",DRLFMBDRBRZALE-UHFFFAOYSA-N,['Personal care'],['PERSONAL CARE'],"['MEDICAL', 'ENDOGENOUS', 'FOOD']",['MEDICAL'],"['MEDICAL', 'ENDOGENOUS', 'FOOD']","['MEDICAL', 'ENDOGENOUS']"
1456,Bornan-2-one,"('Camphor', '(1r)-camphor', '(r)-camphor', '(1r,4r)-1,7,7-trimethylbicyclo[2.2.1]heptan-2-one', 'Bornan-2-one')",,"['Cleaning products and household care', 'Electronics/small appliances', 'Pesticides', 'Personal care']","['PERSONAL CARE', 'INDUSTRIAL']","['MEDICAL', 'PERSONAL CARE', 'FOOD', 'INDUSTRIAL']",['INFO'],"['FOOD', 'PERSONAL CARE', 'INDUSTRIAL']","['FOOD', 'PERSONAL CARE', 'INDUSTRIAL']"
1458,Isoborneol,"('Borneol', 'Isoborneol', 'Camphol', '(1r,2s,4r)-1,7,7-trimethylbicyclo[2.2.1]heptan-2-ol', 'Bicyclo[2.2.1]heptan-2-ol, 1,7,7-trimethyl-, (1r,2s,4r)-')",,['Cleaning products and household care'],['INDUSTRIAL'],['INDUSTRIAL'],"['FOOD', 'INDUSTRIAL', 'PERSONAL CARE']",['INFO'],"['FOOD', 'PERSONAL CARE', 'INDUSTRIAL']"
1459,Linolenate,"('α-linolenic acid', 'Linolenic acid', 'Alpha-linolenic acid', 'Linolenate', '(9z,12z,15z)-octadeca-9,12,15-trienoic acid')",DTOSIQBPPRVQHS-PDBXOOCHSA-N,['Personal care'],['PERSONAL CARE'],"['FOOD', 'ENDOGENOUS']","['ENDOGENOUS', 'FOOD']",['FOOD'],['FOOD']
1461,Phenylethanal,"('Phenylacetaldehyde', 'Benzeneacetaldehyde', 'Hyacinthin', 'Phenylethanal', 'Alpha-tolualdehyde')",,"['Cleaning products and household care', 'Vehicle']",['INDUSTRIAL'],"['INDUSTRIAL', 'FOOD', 'PERSONAL CARE', 'ENDOGENOUS']",['INFO'],"['ENDOGENOUS', 'FOOD', 'PERSONAL CARE', 'INDUSTRIAL']","['FOOD', 'PERSONAL CARE']"
1472,Benzophenone-3,"('Oxybenzone', 'Benzophenone 3', 'Benzophenone-3', '(2-hydroxy-4-methoxyphenyl)(phenyl)methanone', 'Oxybenzon')",DXGLGDHPHMLXJC-UHFFFAOYSA-N,"['Vehicle', 'Personal care', 'Construction and building materials']","['PERSONAL CARE', 'INDUSTRIAL']","['PERSONAL CARE', 'INDUSTRIAL']",['PERSONAL CARE'],"['PERSONAL CARE', 'INDUSTRIAL', 'FOOD']","['PERSONAL CARE', 'INDUSTRIAL']"
1492,Manna sugar,"('Mannitol', 'Mannite', 'Osmitrol', 'Manna sugar', 'Osmofundin')",,"['Cleaning products and household care', 'Personal care']","['PERSONAL CARE', 'INDUSTRIAL']","['MEDICAL', 'FOOD', 'INDUSTRIAL']",['INFO'],"['MEDICAL', 'FOOD', 'INDUSTRIAL']",['INFO']
1493,Glucitol,"('Sorbitol', 'Glucitol', 'Gulitol', 'Glucarine', 'Diakarmon')",,['Personal care'],['PERSONAL CARE'],"['FOOD', 'MEDICAL', 'PERSONAL CARE']",['FOOD'],"['MEDICAL', 'ENDOGENOUS', 'FOOD', 'PERSONAL CARE', 'INDUSTRIAL']",['INFO']
1500,Diethylamino hydroxybenzoyl hexyl benzoate,"('Diethylamino hydroxybenzoyl hexyl benzoate', 'Hexyl 2-(4-(diethylamino)-2-hydroxybenzoyl)benzoate', 'Uvinul a plus', 'Hexyl 2-[4-(diethylamino)-2-hydroxybenzoyl]benzoate', 'Benzoic acid, 2-[4-(diethylamino)-2-hydroxybenzoyl]-, hexyl ester')",FDATWRLUYRHCJE-UHFFFAOYSA-N,['Personal care'],['PERSONAL CARE'],['PERSONAL CARE'],['PERSONAL CARE'],['PERSONAL CARE'],['PERSONAL CARE']
1501,Sulphonamide,"('Sulfanilamide', 'Sulphanilamide', 'Sulfamine', 'P-aminobenzenesulfonamide', 'Sulphonamide')",FDDDEECHVMSUSB-UHFFFAOYSA-N,['Laboratory supplies'],['INDUSTRIAL'],"['MEDICAL', 'INDUSTRIAL']",['INFO'],['INFO'],['INFO']
1512,N-butyric acid,"('Sodium butyrate', 'Butanoic acid sodium salt', 'Butyric acid', 'Butanoic acid', 'N-butyric acid')",,"['Cleaning products and household care', 'Vehicle']",['INDUSTRIAL'],"['FOOD', 'INDUSTRIAL', 'ENDOGENOUS']","['FOOD', 'ENDOGENOUS', 'INDUSTRIAL']","['ENDOGENOUS', 'FOOD', 'INDUSTRIAL']","['ENDOGENOUS', 'FOOD', 'INDUSTRIAL']"
1530,Piperonylbutoxide,"('Piperonyl butoxide', 'Butacide', 'Piperonylbutoxide', 'Butocide', 'Ethanol butoxide')",FIPWRIJSWJWJAI-UHFFFAOYSA-N,"['Pet care', 'Pesticides', 'Personal care']","['PERSONAL CARE', 'INDUSTRIAL']",['INDUSTRIAL'],"['INDUSTRIAL', 'PERSONAL CARE']",['INDUSTRIAL'],"['MEDICAL', 'PERSONAL CARE', 'INDUSTRIAL']"
