,FEATURE_ID,INDUSTRIAL,PERSONAL CARE
4026,4026,1,1
4045,4045,1,0
4049,4049,1,1
4060,4060,1,1
4102,4102,1,1
4105,4105,1,1
4120,4120,0,1
4158,4158,1,1
4166,4166,0,1
4172,4172,1,1
4192,4192,0,1
4201,4201,1,1
4217,4217,0,1
4229,4229,1,1
4234,4234,1,0
4246,4246,0,1
4269,4269,1,0
4270,4270,1,1
4275,4275,0,1
4298,4298,1,0
4305,4305,1,1
4309,4309,0,1
4310,4310,0,1
4311,4311,1,0
4331,4331,0,1
4352,4352,0,1
4390,4390,1,1
4395,4395,1,0
4403,4403,1,1
4415,4415,0,1
4436,4436,1,1
4442,4442,1,1
4443,4443,1,1
4445,4445,0,1
4450,4450,1,0
4453,4453,1,1
4471,4471,0,1
4474,4474,0,1
4485,4485,1,0
4495,4495,1,1
4513,4513,1,1
4522,4522,0,1
4530,4530,0,1
4547,4547,1,1
4550,4550,0,1
4551,4551,1,0
4573,4573,0,1
4574,4574,0,1
4578,4578,1,1
4579,4579,0,1
4598,4598,0,1
4599,4599,0,1
4669,4669,1,0
4675,4675,1,1
4691,4691,1,0
4693,4693,1,1
4707,4707,0,1
4733,4733,1,1
4736,4736,0,1
4737,4737,0,1
4738,4738,0,1
4775,4775,0,1
4780,4780,1,0
4793,4793,1,1
4842,4842,1,0
4847,4847,1,1
4891,4891,0,1
4904,4904,0,1
4913,4913,0,1
4914,4914,1,1
4915,4915,0,1
4926,4926,0,1
4931,4931,1,1
4936,4936,1,1
4944,4944,1,1
4945,4945,1,1
