FEATURE_ID,SOURCE,DEEPSEEK_RAG,GPT_NO_RAG,GPT_RAG,SEARCH_GPT
28,WIKIPEDIA,['ENDOGENOUS'],['ENDOGENOUS'],['ENDOGENOUS'],['ENDOGENOUS']
29,WIKIPEDIA,['FOOD'],['INFO'],['INFO'],['INFO']
30,WIKIPEDIA,['MEDICAL'],['MEDICAL'],['MEDICAL'],['INFO']
31,WIKIPEDIA,['MEDICAL'],['MEDICAL'],['MEDICAL'],['MEDICAL']
32,WIKIPEDIA,['MEDICAL'],['MEDICAL'],['MEDICAL'],['MEDICAL']
33,WIKIPEDIA,"['PERSONAL CARE', 'FOOD', 'INDUSTRIAL']","['FOOD', 'PERSONAL CARE', 'INDUSTRIAL']","['FOOD', 'PERSONAL CARE', 'INDUSTRIAL']",['INFO']
34,WIKIPEDIA,['MEDICAL'],['MEDICAL'],['MEDICAL'],['MEDICAL']
35,WIKIPEDIA,"['MEDICAL', 'FOOD']",['INFO'],"['MEDICAL', 'FOOD']","['MEDICAL', 'FOOD']"
36,WIKIPEDIA,"['MEDICAL', 'FOOD']",['MEDICAL'],"['MEDICAL', 'FOOD']",['INFO']
37,WIKIPEDIA,"['ENDOGENOUS', 'FOOD', 'MEDICAL']","['ENDOGENOUS', 'PERSONAL CARE', 'FOOD']",['INFO'],['INFO']
38,WIKIPEDIA,['MEDICAL'],['MEDICAL'],['MEDICAL'],['MEDICAL']
39,WIKIPEDIA,['MEDICAL'],['MEDICAL'],['MEDICAL'],['MEDICAL']
40,WIKIPEDIA,['MEDICAL'],['MEDICAL'],['MEDICAL'],['MEDICAL']
41,PUBMED,['MEDICAL'],['INFO'],['MEDICAL'],['INFO']
42,WIKIPEDIA,"['MEDICAL', 'FOOD']",['FOOD'],"['FOOD', 'PERSONAL CARE', 'INDUSTRIAL']",['INFO']
43,WIKIPEDIA,"['MEDICAL', 'FOOD', 'INFO']","['FOOD', 'INDUSTRIAL']","['FOOD', 'PERSONAL CARE', 'INDUSTRIAL']","['FOOD', 'PERSONAL CARE']"
44,PUBMED,['MEDICAL'],['MEDICAL'],['MEDICAL'],['INFO']
45,WIKIPEDIA,['INFO'],['INFO'],['INFO'],['INFO']
46,WIKIPEDIA,['MEDICAL'],['MEDICAL'],['MEDICAL'],['MEDICAL']
47,WIKIPEDIA,['MEDICAL'],['MEDICAL'],['MEDICAL'],['MEDICAL']
48,WIKIPEDIA,"['FOOD', 'ENDOGENOUS']",['FOOD'],['FOOD'],"['FOOD', 'PERSONAL CARE']"
49,PUBMED,['MEDICAL'],['MEDICAL'],['MEDICAL'],['INFO']
50,WIKIPEDIA,['MEDICAL'],['MEDICAL'],['MEDICAL'],['MEDICAL']
51,WIKIPEDIA,"['MEDICAL', 'ENDOGENOUS', 'FOOD']","['MEDICAL', 'FOOD']","['ENDOGENOUS', 'FOOD', 'MEDICAL']","['ENDOGENOUS', 'FOOD', 'MEDICAL', 'PERSONAL CARE']"
52,,['INFO'],['MEDICAL'],['INFO'],['INFO']
53,WIKIPEDIA,['MEDICAL'],['MEDICAL'],['MEDICAL'],['INFO']
54,WIKIPEDIA,['MEDICAL'],['MEDICAL'],['MEDICAL'],['INFO']
55,WIKIPEDIA,"['ENDOGENOUS', 'FOOD']","['ENDOGENOUS', 'FOOD']",['INFO'],['ENDOGENOUS']
56,WIKIPEDIA,"['FOOD', 'ENDOGENOUS']",['FOOD'],['FOOD'],"['FOOD', 'PERSONAL CARE']"
57,WIKIPEDIA,['MEDICAL'],['MEDICAL'],['MEDICAL'],['INFO']
58,WIKIPEDIA,['MEDICAL'],['MEDICAL'],['MEDICAL'],['MEDICAL']
59,PUBMED,['MEDICAL'],['MEDICAL'],['MEDICAL'],['MEDICAL']
60,WIKIPEDIA,['INFO'],['MEDICAL'],['INFO'],['MEDICAL']
61,WIKIPEDIA,"['ENDOGENOUS', 'FOOD', 'MEDICAL']","['ENDOGENOUS', 'FOOD']","['ENDOGENOUS', 'MEDICAL']","['ENDOGENOUS', 'FOOD', 'PERSONAL CARE']"
62,WIKIPEDIA,"['MEDICAL', 'INDUSTRIAL']",['INFO'],['INDUSTRIAL'],['INFO']
63,WIKIPEDIA,['MEDICAL'],['MEDICAL'],['MEDICAL'],['MEDICAL']
64,WIKIPEDIA,['MEDICAL'],['MEDICAL'],['MEDICAL'],['MEDICAL']
65,WIKIPEDIA,"['FOOD', 'INFO']",['FOOD'],['FOOD'],['INFO']
66,WIKIPEDIA,['MEDICAL'],['MEDICAL'],['MEDICAL'],['INFO']
67,WIKIPEDIA,"['MEDICAL', 'ENDOGENOUS']",['MEDICAL'],['MEDICAL'],['MEDICAL']
68,WIKIPEDIA,"['MEDICAL', 'INDUSTRIAL']","['MEDICAL', 'FOOD']",['MEDICAL'],['INFO']
69,WIKIPEDIA,['MEDICAL'],['MEDICAL'],['MEDICAL'],['MEDICAL']
70,WIKIPEDIA,['MEDICAL'],['MEDICAL'],['MEDICAL'],['MEDICAL']
71,WIKIPEDIA,"['MEDICAL', 'FOOD']","['MEDICAL', 'FOOD']",['MEDICAL'],['MEDICAL']
72,WIKIPEDIA,['MEDICAL'],['MEDICAL'],['MEDICAL'],['MEDICAL']
73,PUBMED,['MEDICAL'],['MEDICAL'],['MEDICAL'],['INFO']
74,WIKIPEDIA,['MEDICAL'],['MEDICAL'],['MEDICAL'],['MEDICAL']
75,WIKIPEDIA,"['MEDICAL', 'ENDOGENOUS']",['MEDICAL'],"['MEDICAL', 'ENDOGENOUS']",['MEDICAL']
76,PUBMED,['MEDICAL'],['MEDICAL'],['MEDICAL'],['MEDICAL']
77,PUBMED,['INFO'],['INFO'],['INFO'],['INFO']
78,WIKIPEDIA,['MEDICAL'],['MEDICAL'],['MEDICAL'],['INFO']
79,WIKIPEDIA,['MEDICAL'],['MEDICAL'],['MEDICAL'],['MEDICAL']
80,PUBMED,['MEDICAL'],['MEDICAL'],['MEDICAL'],['MEDICAL']
81,WIKIPEDIA,"['MEDICAL', 'FOOD', 'INDUSTRIAL', 'PERSONAL CARE']","['FOOD', 'PERSONAL CARE', 'INDUSTRIAL']","['MEDICAL', 'FOOD', 'PERSONAL CARE', 'INDUSTRIAL']","['FOOD', 'PERSONAL CARE', 'MEDICAL']"
82,WIKIPEDIA,['MEDICAL'],['MEDICAL'],['MEDICAL'],['MEDICAL']
83,WIKIPEDIA,['MEDICAL'],['MEDICAL'],['MEDICAL'],['MEDICAL']
84,WIKIPEDIA,"['MEDICAL', 'INDUSTRIAL']",['MEDICAL'],['INFO'],['INFO']
85,WIKIPEDIA,['MEDICAL'],['MEDICAL'],['MEDICAL'],['MEDICAL']
86,WIKIPEDIA,['MEDICAL'],['MEDICAL'],['MEDICAL'],['INFO']
87,PUBMED,"['MEDICAL', 'FOOD']",['INFO'],"['MEDICAL', 'FOOD']",['FOOD']
88,WIKIPEDIA,['MEDICAL'],['MEDICAL'],['INFO'],['INFO']
89,WIKIPEDIA,['MEDICAL'],['INFO'],['MEDICAL'],['INFO']
90,WIKIPEDIA,['MEDICAL'],['MEDICAL'],['MEDICAL'],['INFO']
91,WIKIPEDIA,"['MEDICAL', 'FOOD']",['INFO'],"['MEDICAL', 'FOOD', 'INDUSTRIAL']",['MEDICAL']
92,WIKIPEDIA,['MEDICAL'],['MEDICAL'],['MEDICAL'],['MEDICAL']
93,PUBMED,['MEDICAL'],['MEDICAL'],['MEDICAL'],['MEDICAL']
94,WIKIPEDIA,['MEDICAL'],['MEDICAL'],['MEDICAL'],['MEDICAL']
95,WIKIPEDIA,"['MEDICAL', 'PERSONAL CARE']","['MEDICAL', 'PERSONAL CARE']","['MEDICAL', 'PERSONAL CARE']","['MEDICAL', 'PERSONAL CARE']"
96,WIKIPEDIA,['MEDICAL'],['MEDICAL'],['MEDICAL'],['MEDICAL']
97,WIKIPEDIA,['MEDICAL'],['MEDICAL'],['MEDICAL'],['MEDICAL']
98,WIKIPEDIA,['MEDICAL'],['MEDICAL'],['MEDICAL'],['MEDICAL']
99,WIKIPEDIA,['MEDICAL'],['MEDICAL'],['MEDICAL'],['MEDICAL']
100,PUBMED,['MEDICAL'],['MEDICAL'],['MEDICAL'],['MEDICAL']
101,WIKIPEDIA,['MEDICAL'],['INDUSTRIAL'],['INFO'],['INFO']
102,WIKIPEDIA,"['ENDOGENOUS', 'MEDICAL']","['ENDOGENOUS', 'FOOD']","['ENDOGENOUS', 'FOOD']",['ENDOGENOUS']
103,WIKIPEDIA,['MEDICAL'],['MEDICAL'],['MEDICAL'],['INFO']
104,WIKIPEDIA,['MEDICAL'],['MEDICAL'],['MEDICAL'],['MEDICAL']
105,PUBMED,['MEDICAL'],['MEDICAL'],['MEDICAL'],['INFO']
106,WIKIPEDIA,['MEDICAL'],['INFO'],['MEDICAL'],['INFO']
107,,['INFO'],['MEDICAL'],['INFO'],['MEDICAL']
108,PUBMED,['INFO'],['INFO'],['INFO'],['INFO']
109,WIKIPEDIA,['MEDICAL'],['INFO'],['MEDICAL'],['INFO']
110,WIKIPEDIA,['MEDICAL'],['INDUSTRIAL'],"['MEDICAL', 'INDUSTRIAL']",['INFO']
111,WIKIPEDIA,['MEDICAL'],['MEDICAL'],['INFO'],['INFO']
112,WIKIPEDIA,['MEDICAL'],['MEDICAL'],['MEDICAL'],['MEDICAL']
113,WIKIPEDIA,['MEDICAL'],['MEDICAL'],['INFO'],['MEDICAL']
114,WIKIPEDIA,['MEDICAL'],['MEDICAL'],['MEDICAL'],['MEDICAL']
115,WIKIPEDIA,"['MEDICAL', 'INDUSTRIAL']",['MEDICAL'],['INFO'],['INFO']
116,WIKIPEDIA,['MEDICAL'],['INFO'],['MEDICAL'],['INFO']
117,PUBMED,['MEDICAL'],['MEDICAL'],['MEDICAL'],['INFO']
118,WIKIPEDIA,"['INDUSTRIAL', 'MEDICAL']","['MEDICAL', 'INDUSTRIAL']",['INFO'],['INDUSTRIAL']
119,PUBMED,['MEDICAL'],['MEDICAL'],['MEDICAL'],['INFO']
120,WIKIPEDIA,['MEDICAL'],['MEDICAL'],['MEDICAL'],['INFO']
121,PUBMED,['MEDICAL'],['INFO'],['MEDICAL'],['INFO']
122,PUBMED,['MEDICAL'],['MEDICAL'],['MEDICAL'],['INFO']
123,WIKIPEDIA,['MEDICAL'],['MEDICAL'],['MEDICAL'],['MEDICAL']
124,WIKIPEDIA,['MEDICAL'],['MEDICAL'],['MEDICAL'],['MEDICAL']
125,WIKIPEDIA,['MEDICAL'],['MEDICAL'],['MEDICAL'],['MEDICAL']
126,PUBMED,['MEDICAL'],['MEDICAL'],['MEDICAL'],['INFO']
127,WIKIPEDIA,['MEDICAL'],['MEDICAL'],['MEDICAL'],['MEDICAL']
128,WIKIPEDIA,['MEDICAL'],['MEDICAL'],['MEDICAL'],['INFO']
129,WIKIPEDIA,['MEDICAL'],['MEDICAL'],['MEDICAL'],['MEDICAL']
130,WIKIPEDIA,['MEDICAL'],['MEDICAL'],['MEDICAL'],['INFO']
131,WIKIPEDIA,['MEDICAL'],['MEDICAL'],['MEDICAL'],['INFO']
132,WIKIPEDIA,['MEDICAL'],['MEDICAL'],['MEDICAL'],['MEDICAL']
133,PUBMED,['MEDICAL'],['MEDICAL'],['MEDICAL'],['MEDICAL']
134,PUBMED,['MEDICAL'],['MEDICAL'],['MEDICAL'],['MEDICAL']
135,PUBMED,['MEDICAL'],['MEDICAL'],['MEDICAL'],['INFO']
136,WIKIPEDIA,['MEDICAL'],['MEDICAL'],['MEDICAL'],['MEDICAL']
137,WIKIPEDIA,['MEDICAL'],['INFO'],['MEDICAL'],['INFO']
138,PUBMED,['MEDICAL'],['INFO'],['MEDICAL'],['INFO']
139,PUBMED,['MEDICAL'],['MEDICAL'],['MEDICAL'],['MEDICAL']
140,WIKIPEDIA,['MEDICAL'],['MEDICAL'],['MEDICAL'],['INFO']
141,WIKIPEDIA,['MEDICAL'],['MEDICAL'],['MEDICAL'],['MEDICAL']
142,WIKIPEDIA,['MEDICAL'],['MEDICAL'],['MEDICAL'],['MEDICAL']
143,WIKIPEDIA,['MEDICAL'],['MEDICAL'],['MEDICAL'],['MEDICAL']
144,WIKIPEDIA,['MEDICAL'],['MEDICAL'],['MEDICAL'],['MEDICAL']
145,,['INFO'],['MEDICAL'],['INFO'],['INFO']
146,PUBMED,['MEDICAL'],['INFO'],['MEDICAL'],['INFO']
147,WIKIPEDIA,['MEDICAL'],['MEDICAL'],['MEDICAL'],['MEDICAL']
148,WIKIPEDIA,"['MEDICAL', 'INDUSTRIAL']",['MEDICAL'],['INFO'],['INFO']
149,WIKIPEDIA,['MEDICAL'],['MEDICAL'],['MEDICAL'],['INFO']
150,WIKIPEDIA,['MEDICAL'],['MEDICAL'],['MEDICAL'],['MEDICAL']
151,WIKIPEDIA,['MEDICAL'],['MEDICAL'],['INFO'],['INFO']
152,WIKIPEDIA,['MEDICAL'],['MEDICAL'],['MEDICAL'],['MEDICAL']
153,WIKIPEDIA,['MEDICAL'],['MEDICAL'],['MEDICAL'],['INFO']
154,WIKIPEDIA,['MEDICAL'],['MEDICAL'],"['MEDICAL', 'PERSONAL CARE', 'INDUSTRIAL']",['MEDICAL']
155,PUBMED,['MEDICAL'],['INFO'],['MEDICAL'],['INFO']
156,WIKIPEDIA,['MEDICAL'],['MEDICAL'],['MEDICAL'],['INFO']
157,WIKIPEDIA,['MEDICAL'],['MEDICAL'],['MEDICAL'],['INFO']
158,WIKIPEDIA,['MEDICAL'],['MEDICAL'],"['MEDICAL', 'PERSONAL CARE']",['MEDICAL']
159,PUBMED,['MEDICAL'],['INFO'],['MEDICAL'],['INFO']
160,PUBMED,"['MEDICAL', 'INDUSTRIAL']",['INDUSTRIAL'],"['MEDICAL', 'INDUSTRIAL']",['INFO']
161,WIKIPEDIA,['MEDICAL'],['MEDICAL'],['MEDICAL'],['MEDICAL']
162,WIKIPEDIA,['MEDICAL'],['INFO'],['MEDICAL'],['INFO']
163,WIKIPEDIA,"['MEDICAL', 'INDUSTRIAL']",['MEDICAL'],"['INDUSTRIAL', 'PERSONAL CARE']",['INFO']
164,PUBMED,['MEDICAL'],['MEDICAL'],['MEDICAL'],['INFO']
165,WIKIPEDIA,['MEDICAL'],['MEDICAL'],['INFO'],['INFO']
166,WIKIPEDIA,['MEDICAL'],['MEDICAL'],['MEDICAL'],['MEDICAL']
167,PUBMED,['MEDICAL'],['MEDICAL'],['MEDICAL'],['INFO']
168,WIKIPEDIA,['MEDICAL'],['MEDICAL'],['MEDICAL'],['MEDICAL']
169,WIKIPEDIA,['INFO'],['INFO'],['INFO'],['INFO']
170,WIKIPEDIA,['MEDICAL'],['MEDICAL'],['MEDICAL'],['MEDICAL']
171,WIKIPEDIA,['MEDICAL'],['INFO'],['INFO'],['INFO']
172,WIKIPEDIA,['MEDICAL'],['INFO'],['MEDICAL'],['MEDICAL']
173,WIKIPEDIA,['MEDICAL'],['MEDICAL'],"['MEDICAL', 'INDUSTRIAL']",['MEDICAL']
174,WIKIPEDIA,['MEDICAL'],['MEDICAL'],"['MEDICAL', 'INDUSTRIAL']",['INFO']
175,PUBMED,['MEDICAL'],['INFO'],['MEDICAL'],['INFO']
176,PUBMED,['MEDICAL'],['INFO'],['MEDICAL'],['INFO']
177,WIKIPEDIA,['MEDICAL'],['MEDICAL'],['MEDICAL'],['MEDICAL']
178,WIKIPEDIA,['MEDICAL'],['MEDICAL'],['MEDICAL'],['MEDICAL']
179,WIKIPEDIA,['MEDICAL'],['MEDICAL'],['MEDICAL'],['INFO']
180,PUBMED,['MEDICAL'],['INFO'],['MEDICAL'],['INFO']
181,WIKIPEDIA,['MEDICAL'],['MEDICAL'],['MEDICAL'],['INFO']
182,WIKIPEDIA,['MEDICAL'],['MEDICAL'],['INFO'],['INFO']
183,WIKIPEDIA,"['MEDICAL', 'INDUSTRIAL']","['MEDICAL', 'INDUSTRIAL']","['MEDICAL', 'INDUSTRIAL']","['MEDICAL', 'INDUSTRIAL']"
184,WIKIPEDIA,['MEDICAL'],['MEDICAL'],['MEDICAL'],['MEDICAL']
185,PUBMED,['MEDICAL'],['MEDICAL'],['MEDICAL'],['MEDICAL']
186,PUBMED,['MEDICAL'],['MEDICAL'],['MEDICAL'],"['MEDICAL', 'INDUSTRIAL']"
187,WIKIPEDIA,['MEDICAL'],['MEDICAL'],['MEDICAL'],['INFO']
188,WIKIPEDIA,['MEDICAL'],['MEDICAL'],['MEDICAL'],['MEDICAL']
189,WIKIPEDIA,['MEDICAL'],['MEDICAL'],['INFO'],['INFO']
190,WIKIPEDIA,['MEDICAL'],['MEDICAL'],['INFO'],['INFO']
191,WIKIPEDIA,['MEDICAL'],['INFO'],['MEDICAL'],['INFO']
192,WIKIPEDIA,['MEDICAL'],['MEDICAL'],['MEDICAL'],['MEDICAL']
193,PUBMED,['MEDICAL'],['MEDICAL'],['MEDICAL'],['INFO']
194,WIKIPEDIA,['MEDICAL'],['MEDICAL'],['MEDICAL'],['MEDICAL']
195,WIKIPEDIA,['MEDICAL'],['MEDICAL'],['MEDICAL'],['MEDICAL']
196,WIKIPEDIA,['MEDICAL'],['MEDICAL'],['MEDICAL'],['MEDICAL']
197,WIKIPEDIA,['MEDICAL'],['MEDICAL'],['MEDICAL'],['MEDICAL']
198,PUBMED,['INFO'],['INFO'],['INFO'],['INFO']
199,WIKIPEDIA,['MEDICAL'],['MEDICAL'],['MEDICAL'],['MEDICAL']
200,WIKIPEDIA,['MEDICAL'],['MEDICAL'],['MEDICAL'],['INFO']
201,WIKIPEDIA,['MEDICAL'],['MEDICAL'],['MEDICAL'],['INFO']
202,WIKIPEDIA,['MEDICAL'],['MEDICAL'],['MEDICAL'],['MEDICAL']
203,WIKIPEDIA,['MEDICAL'],['MEDICAL'],['MEDICAL'],['MEDICAL']
204,WIKIPEDIA,['MEDICAL'],['INFO'],['MEDICAL'],['INFO']
205,WIKIPEDIA,['MEDICAL'],['MEDICAL'],['MEDICAL'],['MEDICAL']
206,PUBMED,['MEDICAL'],['MEDICAL'],['MEDICAL'],['INFO']
207,WIKIPEDIA,['MEDICAL'],['MEDICAL'],['MEDICAL'],['MEDICAL']
208,WIKIPEDIA,['MEDICAL'],['MEDICAL'],['MEDICAL'],['MEDICAL']
209,WIKIPEDIA,['MEDICAL'],['MEDICAL'],['MEDICAL'],['MEDICAL']
210,WIKIPEDIA,['MEDICAL'],['MEDICAL'],['INFO'],['INFO']
211,WIKIPEDIA,['MEDICAL'],['MEDICAL'],['MEDICAL'],['MEDICAL']
212,PUBMED,['MEDICAL'],['MEDICAL'],['MEDICAL'],['INFO']
213,WIKIPEDIA,['MEDICAL'],['INFO'],['MEDICAL'],['INFO']
214,WIKIPEDIA,['MEDICAL'],['MEDICAL'],['INFO'],['INFO']
215,WIKIPEDIA,['MEDICAL'],['MEDICAL'],['MEDICAL'],['MEDICAL']
216,WIKIPEDIA,['MEDICAL'],['MEDICAL'],['MEDICAL'],['MEDICAL']
217,PUBMED,['MEDICAL'],['INFO'],['MEDICAL'],['INFO']
218,WIKIPEDIA,"['MEDICAL', 'INDUSTRIAL']",['MEDICAL'],['INDUSTRIAL'],['INFO']
219,WIKIPEDIA,['MEDICAL'],['MEDICAL'],['MEDICAL'],['MEDICAL']
220,PUBMED,"['MEDICAL', 'INDUSTRIAL']",['INFO'],['INFO'],['INFO']
221,PUBMED,['MEDICAL'],['MEDICAL'],['MEDICAL'],['INFO']
222,WIKIPEDIA,['MEDICAL'],['MEDICAL'],['MEDICAL'],['MEDICAL']
223,WIKIPEDIA,['MEDICAL'],['MEDICAL'],['MEDICAL'],['MEDICAL']
224,WIKIPEDIA,['MEDICAL'],['MEDICAL'],['MEDICAL'],['MEDICAL']
225,WIKIPEDIA,['MEDICAL'],['INFO'],['INFO'],['INFO']
226,WIKIPEDIA,['MEDICAL'],['MEDICAL'],['MEDICAL'],['MEDICAL']
227,WIKIPEDIA,['INFO'],['INFO'],['INFO'],['INFO']
228,WIKIPEDIA,['MEDICAL'],['MEDICAL'],['MEDICAL'],['MEDICAL']
229,PUBMED,['MEDICAL'],['MEDICAL'],['MEDICAL'],['MEDICAL']
230,PUBMED,['MEDICAL'],['MEDICAL'],['MEDICAL'],['INFO']
231,WIKIPEDIA,['MEDICAL'],['MEDICAL'],['MEDICAL'],['INFO']
232,WIKIPEDIA,['MEDICAL'],['MEDICAL'],['MEDICAL'],['MEDICAL']
233,WIKIPEDIA,['MEDICAL'],['MEDICAL'],['MEDICAL'],['MEDICAL']
234,WIKIPEDIA,['MEDICAL'],['MEDICAL'],['MEDICAL'],['MEDICAL']
235,WIKIPEDIA,['MEDICAL'],['INFO'],['MEDICAL'],['MEDICAL']
236,WIKIPEDIA,['MEDICAL'],['MEDICAL'],['MEDICAL'],['INFO']
237,WIKIPEDIA,['MEDICAL'],['MEDICAL'],['INFO'],['MEDICAL']
238,WIKIPEDIA,"['INDUSTRIAL', 'PERSONAL CARE']",['INFO'],['INFO'],['INFO']
239,PUBMED,['MEDICAL'],['INFO'],['MEDICAL'],['INFO']
240,WIKIPEDIA,['MEDICAL'],['MEDICAL'],['MEDICAL'],['MEDICAL']
241,PUBMED,"['MEDICAL', 'INDUSTRIAL']",['INFO'],['INFO'],['INFO']
242,WIKIPEDIA,['MEDICAL'],['MEDICAL'],['MEDICAL'],['MEDICAL']
243,PUBMED,['MEDICAL'],['MEDICAL'],['MEDICAL'],['MEDICAL']
244,WIKIPEDIA,['MEDICAL'],['MEDICAL'],['MEDICAL'],['MEDICAL']
245,WIKIPEDIA,['MEDICAL'],['MEDICAL'],['MEDICAL'],['MEDICAL']
246,PUBMED,['MEDICAL'],['INFO'],['MEDICAL'],['INFO']
247,WIKIPEDIA,['MEDICAL'],['INFO'],['MEDICAL'],['MEDICAL']
248,WIKIPEDIA,['MEDICAL'],['MEDICAL'],['MEDICAL'],['MEDICAL']
249,WIKIPEDIA,['MEDICAL'],['MEDICAL'],['MEDICAL'],['MEDICAL']
250,WIKIPEDIA,['MEDICAL'],['MEDICAL'],['MEDICAL'],['MEDICAL']
251,PUBMED,['MEDICAL'],['INFO'],['MEDICAL'],['INFO']
252,WIKIPEDIA,['MEDICAL'],['MEDICAL'],['MEDICAL'],['MEDICAL']
253,WIKIPEDIA,['MEDICAL'],['MEDICAL'],['MEDICAL'],['MEDICAL']
254,WIKIPEDIA,['MEDICAL'],['MEDICAL'],['MEDICAL'],['MEDICAL']
255,WIKIPEDIA,['MEDICAL'],['MEDICAL'],['MEDICAL'],['MEDICAL']
256,PUBMED,['MEDICAL'],['INFO'],['MEDICAL'],['INFO']
257,PUBMED,['MEDICAL'],['INFO'],['MEDICAL'],['INFO']
258,PUBMED,['MEDICAL'],['MEDICAL'],['MEDICAL'],['INFO']
259,PUBMED,['MEDICAL'],['INFO'],['MEDICAL'],['INFO']
260,WIKIPEDIA,['MEDICAL'],['MEDICAL'],['INFO'],['INFO']
261,WIKIPEDIA,['MEDICAL'],['MEDICAL'],['MEDICAL'],['MEDICAL']
262,WIKIPEDIA,['MEDICAL'],['MEDICAL'],['MEDICAL'],['MEDICAL']
263,WIKIPEDIA,['MEDICAL'],['MEDICAL'],['MEDICAL'],['MEDICAL']
264,PUBMED,['MEDICAL'],['INFO'],['MEDICAL'],['INFO']
265,WIKIPEDIA,['MEDICAL'],['MEDICAL'],['MEDICAL'],['MEDICAL']
266,WIKIPEDIA,['MEDICAL'],['INFO'],['MEDICAL'],['INFO']
267,PUBMED,['MEDICAL'],['INFO'],['MEDICAL'],['INFO']
268,PUBMED,['MEDICAL'],['MEDICAL'],['MEDICAL'],['INFO']
269,WIKIPEDIA,['MEDICAL'],['MEDICAL'],['MEDICAL'],['MEDICAL']
270,WIKIPEDIA,['MEDICAL'],['MEDICAL'],['MEDICAL'],['MEDICAL']
271,WIKIPEDIA,['MEDICAL'],['INFO'],['MEDICAL'],['INFO']
272,PUBMED,['MEDICAL'],['MEDICAL'],['MEDICAL'],['MEDICAL']
273,PUBMED,['MEDICAL'],['INFO'],"['MEDICAL', 'INDUSTRIAL']",['INFO']
274,WIKIPEDIA,['MEDICAL'],['MEDICAL'],['MEDICAL'],['MEDICAL']
275,WIKIPEDIA,['MEDICAL'],['MEDICAL'],['INFO'],['INFO']
276,WIKIPEDIA,['MEDICAL'],['MEDICAL'],['INFO'],['INFO']
277,WIKIPEDIA,['MEDICAL'],['MEDICAL'],['INFO'],['INFO']
278,WIKIPEDIA,['MEDICAL'],['MEDICAL'],['MEDICAL'],['MEDICAL']
279,WIKIPEDIA,['MEDICAL'],['MEDICAL'],['MEDICAL'],['MEDICAL']
280,WIKIPEDIA,"['MEDICAL', 'PERSONAL CARE']","['MEDICAL', 'PERSONAL CARE']","['MEDICAL', 'PERSONAL CARE', 'INDUSTRIAL']","['MEDICAL', 'PERSONAL CARE']"
281,PUBMED,['MEDICAL'],['MEDICAL'],['MEDICAL'],['INFO']
